Iteration;ML_Algorithms_and_Parameters;Cross_Validation_Performance;generation;mutation;crossover;predecessor;operator
29;KNeighborsClassifier(GaussianNB(input_matrix), KNeighborsClassifier__n_neighbors=36, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance);0.7347479479;0;0;0;('ROOT',);2
30;KNeighborsClassifier(FeatureAgglomeration(input_matrix, FeatureAgglomeration__affinity=l1, FeatureAgglomeration__linkage=complete), KNeighborsClassifier__n_neighbors=50, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7375481481;0;0;0;('ROOT',);2
31;KNeighborsClassifier(CombineDFs(input_matrix, input_matrix), KNeighborsClassifier__n_neighbors=23, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance);0.7251489489;0;0;0;('ROOT',);1
32;DecisionTreeClassifier(PCA(input_matrix, PCA__iterated_power=7, PCA__svd_solver=randomized), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=4, DecisionTreeClassifier__min_samples_leaf=5, DecisionTreeClassifier__min_samples_split=3);0.7335483483;0;0;0;('ROOT',);2
33;MultinomialNB(GaussianNB(input_matrix), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=True);0.7371479479;0;0;0;('ROOT',);2
34;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=7, DecisionTreeClassifier__min_samples_leaf=7, DecisionTreeClassifier__min_samples_split=2);0.7375483483;0;0;0;('ROOT',);1
35;DecisionTreeClassifier(Normalizer(input_matrix, Normalizer__norm=l1), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=5, DecisionTreeClassifier__min_samples_leaf=11, DecisionTreeClassifier__min_samples_split=18);0.7391479479;0;0;0;('ROOT',);2
36;MultinomialNB(VarianceThreshold(input_matrix, VarianceThreshold__threshold=0.0001), MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False);0.6437287287;0;0;0;('ROOT',);2
37;KNeighborsClassifier(RBFSampler(input_matrix, RBFSampler__gamma=0.9), KNeighborsClassifier__n_neighbors=92, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7385481481;0;0;0;('ROOT',);2
38;GaussianNB(MaxAbsScaler(input_matrix));0.7371479479;0;0;0;('ROOT',);2
39;BernoulliNB(RBFSampler(input_matrix, RBFSampler__gamma=0.0), BernoulliNB__alpha=1.0, BernoulliNB__fit_prior=False);0.7379475475;0;0;0;('ROOT',);2
40;MultinomialNB(input_matrix, MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=True);0.7379475475;0;0;0;('ROOT',);1
41;BernoulliNB(input_matrix, BernoulliNB__alpha=10.0, BernoulliNB__fit_prior=False);0.6449291291;0;0;0;('ROOT',);1
42;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=15, DecisionTreeClassifier__min_samples_split=2);0.7355491491;0;0;0;('ROOT',);1
43;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=23, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance);0.7251489489;1;1;0;('KNeighborsClassifier(CombineDFs(input_matrix, input_matrix), KNeighborsClassifier__n_neighbors=23, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance)',);1
44;LogisticRegression(PCA(input_matrix, PCA__iterated_power=10, PCA__svd_solver=randomized), LogisticRegression__C=25.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2);0.7379475475;1;1;0;('LogisticRegression(input_matrix, LogisticRegression__C=25.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2)',);2
45;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=76, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance);0.7359483483;1;1;0;('GaussianNB(input_matrix)',);1
46;MultinomialNB(DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=10, DecisionTreeClassifier__min_samples_split=18), MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False);0.6449291291;1;1;0;('MultinomialNB(DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=10, DecisionTreeClassifier__min_samples_split=18), MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False)',);2
47;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=11, DecisionTreeClassifier__min_samples_split=11);0.7355491491;1;0;1;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=14, DecisionTreeClassifier__min_samples_split=11)', 'DecisionTreeClassifier(Normalizer(input_matrix, Normalizer__norm=l1), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=5, DecisionTreeClassifier__min_samples_leaf=11, DecisionTreeClassifier__min_samples_split=18)');1
48;BernoulliNB(VarianceThreshold(input_matrix, VarianceThreshold__threshold=0.0001), BernoulliNB__alpha=1.0, BernoulliNB__fit_prior=True);0.7381479479;1;1;0;('MultinomialNB(VarianceThreshold(input_matrix, VarianceThreshold__threshold=0.0001), MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False)',);2
49;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=5, DecisionTreeClassifier__min_samples_leaf=11, DecisionTreeClassifier__min_samples_split=18);0.7367483483;1;1;0;('DecisionTreeClassifier(Normalizer(input_matrix, Normalizer__norm=l1), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=5, DecisionTreeClassifier__min_samples_leaf=11, DecisionTreeClassifier__min_samples_split=18)',);1
50;MultinomialNB(FeatureAgglomeration(VarianceThreshold(input_matrix, VarianceThreshold__threshold=0.001), FeatureAgglomeration__affinity=euclidean, FeatureAgglomeration__linkage=ward), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False);0.6437287287;1;1;0;('MultinomialNB(FeatureAgglomeration(input_matrix, FeatureAgglomeration__affinity=euclidean, FeatureAgglomeration__linkage=ward), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False)',);3
51;GaussianNB(MaxAbsScaler(MaxAbsScaler(input_matrix)));0.7371479479;1;1;0;('GaussianNB(MaxAbsScaler(input_matrix))',);3
52;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=10, DecisionTreeClassifier__min_samples_leaf=16, DecisionTreeClassifier__min_samples_split=5);0.7375483483;1;1;0;('DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=10, DecisionTreeClassifier__min_samples_leaf=19, DecisionTreeClassifier__min_samples_split=5)',);1
53;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=11, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform);0.7207457457;1;1;0;('GaussianNB(input_matrix)',);1
54;MultinomialNB(Normalizer(input_matrix, Normalizer__norm=l1), MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False);0.6437287287;1;1;0;('MultinomialNB(VarianceThreshold(input_matrix, VarianceThreshold__threshold=0.0001), MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False)',);2
55;MultinomialNB(MultinomialNB(input_matrix, MultinomialNB__alpha=0.01, MultinomialNB__fit_prior=True), MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False);0.6449291291;1;1;0;('MultinomialNB(input_matrix, MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False)',);2
56;MultinomialNB(DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=10, DecisionTreeClassifier__min_samples_split=10), MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False);0.6449291291;1;1;0;('MultinomialNB(DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=10, DecisionTreeClassifier__min_samples_split=18), MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=False)',);2
57;MultinomialNB(MaxAbsScaler(input_matrix), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False);0.6437287287;1;1;0;('MultinomialNB(input_matrix, MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False)',);2
58;DecisionTreeClassifier(GaussianNB(Normalizer(input_matrix, Normalizer__norm=l1)), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=5, DecisionTreeClassifier__min_samples_leaf=11, DecisionTreeClassifier__min_samples_split=18);0.7391479479;1;1;0;('DecisionTreeClassifier(Normalizer(input_matrix, Normalizer__norm=l1), DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=5, DecisionTreeClassifier__min_samples_leaf=11, DecisionTreeClassifier__min_samples_split=18)',);3
59;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=98, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform);0.7367483483;1;1;0;('KNeighborsClassifier(VarianceThreshold(input_matrix, VarianceThreshold__threshold=0.001), KNeighborsClassifier__n_neighbors=98, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform)',);1
