Iteration;ML_Algorithms_and_Parameters;Cross_Validation_Performance;generation;mutation;crossover;predecessor;operator
23;GaussianNB(DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=5, DecisionTreeClassifier__min_samples_leaf=2, DecisionTreeClassifier__min_samples_split=4));0.7181445445;0;0;0;('ROOT',);2
24;GaussianNB(KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=40, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=uniform));0.7239453453;0;0;0;('ROOT',);2
25;DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=entropy, DecisionTreeClassifier__max_depth=9, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=12);0.7453487487;0;0;0;('ROOT',);1
26;KNeighborsClassifier(MaxAbsScaler(input_matrix), KNeighborsClassifier__n_neighbors=38, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance);0.7435487487;0;0;0;('ROOT',);2
27;BernoulliNB(MaxAbsScaler(input_matrix), BernoulliNB__alpha=100.0, BernoulliNB__fit_prior=True);0.7457483483;0;0;0;('ROOT',);2
28;LogisticRegression(input_matrix, LogisticRegression__C=25.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2);0.7447489489;0;0;0;('ROOT',);1
29;MultinomialNB(MaxAbsScaler(input_matrix), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False);0.6385287287;0;0;0;('ROOT',);2
30;KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=55, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7463485485;0;0;0;('ROOT',);1
31;MultinomialNB(Binarizer(input_matrix, Binarizer__threshold=0.15000000000000002), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=True);0.7447489489;0;0;0;('ROOT',);2
32;MultinomialNB(input_matrix, MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False);0.6385287287;0;0;0;('ROOT',);1
33;LogisticRegression(input_matrix, LogisticRegression__C=15.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2);0.7447489489;0;0;0;('ROOT',);1
34;GaussianNB(RBFSampler(input_matrix, RBFSampler__gamma=0.65));0.6395281281;0;0;0;('ROOT',);2
35;MultinomialNB(input_matrix, MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=True);0.7447489489;0;0;0;('ROOT',);1
36;DecisionTreeClassifier(PCA(input_matrix, PCA__iterated_power=10, PCA__svd_solver=randomized), DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=2, DecisionTreeClassifier__min_samples_leaf=6, DecisionTreeClassifier__min_samples_split=4);0.7505491491;0;0;0;('ROOT',);2
37;KNeighborsClassifier(KNeighborsClassifier(input_matrix, KNeighborsClassifier__n_neighbors=27, KNeighborsClassifier__p=2, KNeighborsClassifier__weights=distance), KNeighborsClassifier__n_neighbors=92, KNeighborsClassifier__p=1, KNeighborsClassifier__weights=uniform);0.7445481481;0;0;0;('ROOT',);2
38;BernoulliNB(input_matrix, BernoulliNB__alpha=100.0, BernoulliNB__fit_prior=False);0.6395281281;0;0;0;('ROOT',);1
39;MultinomialNB(input_matrix, MultinomialNB__alpha=10.0, MultinomialNB__fit_prior=True);0.7447489489;0;0;0;('ROOT',);1
